出度,入度
1,1
1,1
2,1
2,1
1,2
1,1
1,1
2,1
1,1
2,1
1,1
0,1
1,1
1,1
1,1
1,1
2,1
2,2
1,1
0,0
1,1
1,1
1,2
2,1
1,1
1,1
2,2
1,1
3,2
1,1
1,1
1,1
8,8
1,1
1,1
1,1
2,1
1,2
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,3
1,1
1,1
1,1
1,1
6,8
2,1
1,2
0,0
1,0
1,2
1,1
1,1
1,1
1,1
2,2
1,5
2,1
1,7
2,1
1,2
1,1
2,1
1,1
0,1
1,1
1,1
1,2
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
2,2
1,2
2,1
1,1
1,1
1,1
1,1
1,1
0,0
1,1
1,1
2,1
1,1
0,1
1,1
1,1
1,1
1,1
1,1
1,1
0,1
1,37
1,22
36,1
1,1
2,1
1,2
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
2,1
1,2
1,1
1,1
2,1
2,1
13,2
1,1
2,1
1,1
1,1
1,1
1,1
2,1
1,1
0,1
2,1
1,1
0,1
1,1
2,1
5,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
3,1
1,1
1,1
2,1
0,3
1,1
1,2
3,1
5,1
3,2
6,1
1,1
1,1
6,2
1,1
2,1
2,1
2,1
5,1
0,1
1,2
3,1
2,1
7,1
1,1
2,1
5,4
2,1
2,3
7,1
2,1
1,1
1,1
6,1
1,1
13,5
0,1
1,1
1,1
2,1
1,2
2,2
16,7
8,2
9,2
7,2
7,5
1,1
1,1
2,1
1,1
6,1
5,1
2,1
1,1
1,1
1,1
1,1
2,1
8,2
1,1
1,1
1,1
0,1
0,1
0,1
1,1
1,1
6,1
1,1
1,1
7,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
0,1
1,1
1,3
1,1
9,3
2,6
5,1
2,1
1,1
1,1
2,2
1,1
1,1
1,1
1,1
2,2
1,1
6,2
1,1
2,1
2,1
1,1
0,2
1,1
1,1
1,1
1,1
2,1
1,1
4,2
0,1
1,1
1,1
5,1
5,1
5,1
1,1
7,2
6,1
1,1
1,1
1,1
1,1
2,1
2,2
2,1
1,3
8,2
1,1
1,1
1,1
1,1
0,1
1,1
1,1
1,1
5,1
1,1
1,1
1,1
1,1
6,1
1,1
1,1
3,1
6,1
3,1
5,1
2,1
1,1
1,1
1,1
6,1
1,1
1,1
1,1
1,1
2,1
6,1
7,1
3,1
1,2
6,1
1,1
1,1
0,1
1,1
1,1
1,1
6,1
3,2
1,1
1,1
2,1
1,2
6,1
6,1
1,1
1,1
5,1
7,3
6,1
2,1
2,1
1,46
3,1
4,1
2,1
1,1
0,1
1,1
1,1
3,1
5,1
4,1
1,1
1,1
8,4
6,3
3,1
1,1
2,2
1,30
1,1
7,4
1,47
1,9
3,1
1,53
3,1
1,1
2,1
1,1
2,1
3,1
2,1
1,57
1,1
0,1
1,1
1,2
1,1
1,1
1,8
2,1
1,1
1,2
1,1
1,1
1,2
1,2
1,1
1,1
2,1
2,1
1,41
9,1
0,1
1,1
5,1
